単元名,チェック項目,サブテーマ,リファレンス,チャート例題番号,難易度,応用的,チェック内容,問題文,チェック解答,学んでほしいこと,練習問題,練習問題の解答,AIによる修正後の問題文（数Ⅰ）,,,367,370
    (2) $(a+b)(a-2b+1)$
    
     **分配法則**を2回使うと、
    
    $a(a-2b+1)+b(a-2b+1)=a^2-2ab+a+ab-2b^2+b$
    
     **同類項**をまとめると、
    
    $a^2-ab+a-2b^2+b$
",,,,,
数と式,多項式の加法・減法を実行できる？,多項式の計算の基本,,2,2,,,"\textbf{基本例題 2 多項式の加法・減法}

$A = x^2 + 3y^2 - 2xy,\; B = y^2 + 3xy - 2x^2,\; C = -3x^2 + xy - 4y^2$ であるとき，次の計算をせよ。

\begin{enumerate}
    \item $A + B$
    \item $A - B$
    \item $-3A + 2B - C$
    \item $3(2A + C) - 2\{2(A + C) - (B - C)\}$
\end{enumerate}
","1.  $A + B = (x^2 + 3y^2 - 2xy) + (y^2 + 3xy - 2x^2)$
    
    同類項をまとめると、
    
    $A + B = (x^2 - 2x^2) + (3y^2 + y^2) + (-2xy + 3xy)$
    
    $A + B = -x^2 + 4y^2 + xy$
2.  $A - B = (x^2 + 3y^2 - 2xy) - (y^2 + 3xy - 2x^2)$
    
    括弧を外すと、
    
    $A - B = x^2 + 3y^2 - 2xy - y^2 - 3xy + 2x^2$
    
    同類項をまとめると、
    
    $A - B = (x^2 + 2x^2) + (3y^2 - y^2) + (-2xy - 3xy)$
    
    $A - B = 3x^2 + 2y^2 - 5xy$
3.  $-3A + 2B - C = -3(x^2 + 3y^2 - 2xy) + 2(y^2 + 3xy - 2x^2) - (-3x^2 + xy - 4y^2)$
    
    分配法則を使って括弧を外すと、
    
    $-3A + 2B - C = -3x^2 - 9y^2 + 6xy + 2y^2 + 6xy - 4x^2 + 3x^2 - xy + 4y^2$
    
    同類項をまとめると、
    
    $-3A + 2B - C = (-3x^2 - 4x^2 + 3x^2) + (-9y^2 + 2y^2 + 4y^2) + (6xy + 6xy - xy)$
    
    $-3A + 2B - C = -4x^2 - 3y^2 + 11xy$
4.  $3(2A + C) - 2\{2(A + C) - (B - C)\}$
    
    まずは内側の括弧から計算していく。
    
    $2A + C = 2(x^2 + 3y^2 - 2xy) + (-3x^2 + xy - 4y^2)$
    
    $2A + C = 2x^2 + 6y^2 - 4xy - 3x^2 + xy - 4y^2$
    
    $2A + C = -x^2 + 2y^2 - 3xy$
    
    $A + C = (x^2 + 3y^2 - 2xy) + (-3x^2 + xy - 4y^2)$
    
    $A + C = -2x^2 - y^2 - xy$
    
    $B - C = (y^2 + 3xy - 2x^2) - (-3x^2 + xy - 4y^2)$
    
    $B - C = y^2 + 3xy - 2x^2 + 3x^2 - xy + 4y^2$
    
    $B - C = x^2 + 5y^2 + 2xy$
    
    これらを元の式に代入すると、
    
    $3(-x^2 + 2y^2 - 3xy) - 2\{2(-2x^2 - y^2 - xy) - (x^2 + 5y^2 + 2xy)\}$
    
    $3(-x^2 + 2y^2 - 3xy) - 2\{-4x^2 - 2y^2 - 2xy - x^2 - 5y^2 - 2xy\}$
    
    $3(-x^2 + 2y^2 - 3xy) - 2\{-5x^2 - 7y^2 - 4xy\}$
    
    $-3x^2 + 6y^2 - 9xy + 10x^2 + 14y^2 + 8xy$
    
    $7x^2 + 20y^2 - xy$
","- **多項式の加法・減法は、同類項（同じ文字の組み合わせの項）をまとめる**ことが基本だよ！ 
- **括弧の前がマイナスの時は、括弧の中のすべての項の符号を変える**のを忘れないでね。
- 計算の**途中で間違えないように、丁寧に式を書く**ように心がけよう。特に、複雑な式の場合は、**焦らずに一つ一つのステップを確実に**進めることが大切だよ。
- 4番のように、**複数の括弧がある場合は、内側の括弧から順番に計算する**ようにしよう。
- **分配法則**を使って括弧を外すときは、**符号の間違いに注意**しよう。
","\begin{enumerate}
    \item $A = 2x^2 - 5xy + 3y^2,\; B = -x^2 + 2xy - 4y^2$ であるとき、$A + B$ を計算しなさい。
    \item $P = 4a^2 + 3ab - b^2,\; Q = -2a^2 + 5ab + 2b^2$ であるとき、$P - Q$ を計算しなさい。
    \item $X = x^2 - 3x + 2,\; Y = -2x^2 + 4x - 1$ であるとき、$2X + 3Y$ を計算しなさい。
    \item $A = 3x^2 - 2y^2,\; B = -x^2 + 4xy + y^2$ であるとき、$3A - 2(A - B)$ を計算しなさい。
\end{enumerate}
","1.  $A + B = (2x^2 - 5xy + 3y^2) + (-x^2 + 2xy - 4y^2)$

    括弧を外して同類項をまとめると、
    
    $A + B = (2x^2 - x^2) + (-5xy + 2xy) + (3y^2 - 4y^2)$
    
    $A + B = x^2 - 3xy - y^2$
    

2.  $P - Q = (4a^2 + 3ab - b^2) - (-2a^2 + 5ab + 2b^2)$
    
    括弧を外すと、
    
    $P - Q = 4a^2 + 3ab - b^2 + 2a^2 - 5ab - 2b^2$
    
    同類項をまとめると、
    
    $P - Q = (4a^2 + 2a^2) + (3ab - 5ab) + (-b^2 - 2b^2)$
    
    $P - Q = 6a^2 - 2ab - 3b^2$
    

3.  $2X + 3Y = 2(x^2 - 3x + 2) + 3(-2x^2 + 4x - 1)$
    
    分配法則を使って括弧を外すと、
    
    $2X + 3Y = 2x^2 - 6x + 4 - 6x^2 + 12x - 3$
    
    同類項をまとめると、
    
    $2X + 3Y = (2x^2 - 6x^2) + (-6x + 12x) + (4 - 3)$
    
    $2X + 3Y = -4x^2 + 6x + 1$
    

4.  $3A - 2(A - B)$
    
    まずは内側の括弧から計算する。
    
    $A - B = (3x^2 - 2y^2) - (-x^2 + 4xy + y^2)$
    
    $A - B = 3x^2 - 2y^2 + x^2 - 4xy - y^2$
    
    $A - B = 4x^2 - 4xy - 3y^2$
    
    これを元の式に代入すると、
    
    $3A - 2(A - B) = 3(3x^2 - 2y^2) - 2(4x^2 - 4xy - 3y^2)$
    
    分配法則を使って括弧を外すと、
    
    $3A - 2(A - B) = 9x^2 - 6y^2 - 8x^2 + 8xy + 6y^2$
    
    同類項をまとめると、
    
    $3A - 2(A - B) = (9x^2 - 8x^2) + (-6y^2 + 6y^2) + 8xy$
    
    $3A - 2(A - B) = x^2 + 8xy$
","基本例題 $$2$$：多項式の加法・減法

$$A = x^2 + 3y^2 - 2xy$$，$$B = y^2 + 3xy - 2x^2$$，$$C = -3x^2 + xy - 4y^2$$ であるとき，次の計算をせよ。

\begin{align*}
&(1) \enspace A + B \\
&(2) \enspace A - B \\
&(3) \enspace -3A + 2B - C \\
&(4) \enspace 3(2A + C) - 2\{2(A + C) - (B - C)\}
\end{align*}
",,,,
数と式,"指数法則の３つのルールとは？（(a^m)(a^n) = ?, (a^m)^n = ?, (ab)^n = ?）",多項式の計算の基本,教科書,,1,,指数の計算のルール３つを説明できる。,,"\begin{enumerate}
    \item $(a^m)(a^n) = a^{m+n}$
    \item $(a^m)^n = a^{mn}$
    \item $(ab)^n = a^n b^n$
\end{enumerate}
","**指数法則は、多項式の計算における基本ルールであり、それぞれの式の形と対応した計算方法を正確に理解し、使いこなせるようにしよう。特に、積の形  $$(a^m)(a^n) $$ と、累乗の形  $$(a^m)^n $$ の違いを意識しよう。**
","練習問題：
1. 次の計算をしなさい。
    (1)  $x^3 \times x^5$
    (2)  $(y^2)^4$
    (3)  $(2z)^3$
    (4)  $a^2 \times a \times a^6$
    (5)  $(b^3)^2 \times b^4$
2.  次の式を簡単にしなさい。
    (1)  $(x^2y)^3$
    (2)  $(a^3b^2)^2 \times a^4$
    (3)  $\frac{(p^2q^3)^4}{(p^3q)^2}$
3.  $2^x=4$ のとき、$x$ の値を求めなさい。
4.  $3^2 \times 3^y=27$ のとき、$y$ の値を求めなさい。
5.  $a^2=9$、$b^3=8$ のとき、$ab$ の値を求めなさい。（ただし、$a, b$は正の数とする。）
","1. (1) $x^3 \times x^5 = x^{3+5} = x^8$
   (2) $(y^2)^4 = y^{2 \times 4} = y^8$
   (3) $(2z)^3 = 2^3 z^3 = 8z^3$
   (4) $a^2 \times a \times a^6 = a^{2+1+6} = a^9$
   (5) $(b^3)^2 \times b^4 = b^{3 \times 2} \times b^4 = b^6 \times b^4 = b^{6+4} = b^{10}$

2. (1) $(x^2y)^3 = (x^2)^3 y^3 = x^{2 \times 3} y^3 = x^6 y^3$
   (2) $(a^3b^2)^2 \times a^4 = (a^3)^2 (b^2)^2 \times a^4 = a^{3 \times 2} b^{2 \times 2} \times a^4 = a^6 b^4 \times a^4 = a^{6+4} b^4 = a^{10} b^4$
   (3) $\frac{(p^2q^3)^4}{(p^3q)^2} = \frac{(p^2)^4 (q^3)^4}{(p^3)^2 q^2} = \frac{p^{2 \times 4} q^{3 \times 4}}{p^{3 \times 2} q^2} = \frac{p^8 q^{12}}{p^6 q^2} = p^{8-6} q^{12-2} = p^2 q^{10}$

3.  $2^x = 4$ は $2^x = 2^2$ と書き換えられるので、$x=2$。

4.  $3^2 \times 3^y = 27$ は $3^{2+y} = 3^3$ と書き換えられるので、$2+y=3$。よって、$y=1$。

5.  $a^2 = 9$ より、$a = \sqrt{9} = 3$ (ただし、$a$は正の数)。また、$b^3 = 8$ より、$b = \sqrt[3]{8} = 2$。したがって、$ab = 3 \times 2 = 6$。
",,,,,
数と式,指数法則をもとに単項式の掛け算の計算ができる？,多項式の計算の基本,,3,1,,,"\textbf{基本例題 3 (単項式) × (単項式)，(単項式) × (多項式)}

次の計算をせよ。

\begin{enumerate}
    \item $(-xy^2)^2(-3x^2y)$
    \item $-a^2b(-3a^2bc^2)^3$
    \item $3abc(a + 4b - 2c)$
    \item $(-xy)^2(3x^2 - 2y - 4)$
\end{enumerate}
","1.  $(-xy^2)^2(-3x^2y) = (x^2y^4)(-3x^2y) = -3x^{2+2}y^{4+1} = -3x^4y^5$

2.  $-a^2b(-3a^2bc^2)^3 = -a^2b(-27a^6b^3c^6) = 27a^{2+6}b^{1+3}c^6 = 27a^8b^4c^6$

3.  $3abc(a + 4b - 2c) = 3a^2bc + 12ab^2c - 6abc^2$

4.  $(-xy)^2(3x^2 - 2y - 4) = (x^2y^2)(3x^2 - 2y - 4) = 3x^4y^2 - 2x^2y^3 - 4x^2y^2$
","- **指数法則**を正しく使えるようにしよう！特に、 $$(a^m)^n = a^{mn} $$ や  $$(ab)^m = a^mb^m $$ は、**指数が複数あるとき**に間違いやすいから、落ち着いて計算しよう。
- **符号の計算**も確実にできるようにしよう！特に、マイナスの符号がついた数の**累乗**は、**偶数乗**ならプラス、**奇数乗**ならマイナスになることを忘れずに！
- **分配法則**を使って、多項式を展開できるようにしよう！  $$(a+b)c=ac+bc $$ を**逆向き**に使う場面もあるよ。
- 計算の途中式を省略せずに、**一つ一つのステップ**を丁寧に書くことを心がけよう。特に**指数法則**や**分配法則**を使うときには、どの部分を計算したのかを明確にするとミスが減るよ。
- 最終的に、**同類項をまとめる**のを忘れないようにしよう！(例:  $$3x^4y^2 - 4x^2y^2 $$のように)
","次の計算をせよ。

\begin{enumerate}
    \item $(2a^2b)^3(-4ab^3)$
    \item $(-x^3y)(-2xy^2z)^2$
    \item $-2pqr(3p-5q+r)$
    \item $(ab)^3(2a^2-3b+1)$
\end{enumerate}
","1.  $(2a^2b)^3(-4ab^3) = (8a^6b^3)(-4ab^3) = -32a^{6+1}b^{3+3} = -32a^7b^6$
2.  $(-x^3y)(-2xy^2z)^2 = (-x^3y)(4x^2y^4z^2) = -4x^{3+2}y^{1+4}z^2 = -4x^5y^5z^2$
3.  $-2pqr(3p-5q+r) = -6p^2qr + 10pq^2r - 2pqr^2$
4.  $(ab)^3(2a^2-3b+1) = (a^3b^3)(2a^2-3b+1) = 2a^{3+2}b^3 - 3a^3b^{3+1} + a^3b^3 = 2a^5b^3 - 3a^3b^4 + a^3b^3$
","基本例題 $$3$$：単項式 × 単項式，単項式 × 多項式

次の計算をせよ。

\begin{align*} &(1)\enspace (-xy^2)^2(-3x^2y) \\ &(2)\enspace -a^2b(-3a^2bc^2)^3 \\ &(3)\enspace 3abc(a + 4b - 2c) \\ &(4)\enspace (-xy)^2(3x^2 - 2y - 4) \end{align*}
",,,,
数と式,式を展開するとは？,多項式の計算の基本,"教科書, p12",,1,,,,"式を展開するとは、多項式の積の形を、単項式の和の形に書き換えること。

例えば、$(a+b)(c+d)$ という式は、積の形で表現されている。これを展開すると、分配法則を使って $ac + ad + bc + bd$ という和の形に書き換えられる。

別の例として、$(x+1)^2$ という式は、$(x+1)(x+1)$ のように積の形で表現されているので、これを展開すると、$x^2 + 2x + 1$ という和の形に書き換えられる。
","**「展開」は、分配法則を使って、積の形を和の形に変形することだと理解しよう。**
","練習問題：

1.  以下の式を展開しなさい。
    (1)  $2(x+3)$
    (2)  $(a-2)(b+1)$
    (3)  $(x+y)^2$
    (4)  $(2x-1)(x+3)$

2.  $(x+2)(x-2)$ を展開するとどうなるか。また、この展開の形には特別な名前がついているが、それは何か。

3.  $(x+1)(x+2)(x+3)$ を展開しなさい。この問題を通して、展開はどのように計算すれば良いか、どのような点に注意する必要があるか説明しなさい。
","練習問題の解答：

1.  以下の式を展開しなさい。
    (1) $2(x+3) = 2x + 6$
        *   分配法則を使って、2を括弧の中の各項に掛けます。
    (2) $(a-2)(b+1) = ab + a - 2b - 2$
        *   分配法則を2回使います。(a-2) を先に分配して、次に (b+1) を分配します。
    (3) $(x+y)^2 = (x+y)(x+y) = x^2 + xy + yx + y^2 = x^2 + 2xy + y^2$
        *   $(x+y)^2$ は $(x+y)(x+y)$ と同じなので、分配法則を使って展開します。$xy$ と $yx$ は同じなので、$2xy$ とまとめます。
    (4) $(2x-1)(x+3) = 2x^2 + 6x - x - 3 = 2x^2 + 5x - 3$
        *   分配法則を使って展開し、同類項をまとめます。

2. $(x+2)(x-2) = x^2 - 2x + 2x - 4 = x^2 - 4$
    *   この展開の形は **「和と差の積」** と呼ばれます。 $(a+b)(a-b) = a^2 - b^2$ という公式で覚えておくと便利です。

3.  $(x+1)(x+2)(x+3) = \{(x+1)(x+2)\}(x+3) = (x^2 + 3x + 2)(x+3) = x^3 + 3x^2 + 3x^2 + 9x + 2x + 6 = x^3 + 6x^2 + 11x + 6$
    *   **展開は、複数の括弧がある場合、一度に全部を計算しようとせずに、2つずつ順番に展開していくのが基本です。** この問題では、まず $(x+1)(x+2)$ を展開し、次にその結果と $(x+3)$ を展開しました。
    *   **展開するときは、分配法則を正しく適用することが重要です。** 特に、括弧の中の各項を漏れなく掛けるように注意しましょう。また、計算ミスを減らすために、丁寧に式を書くことも大切です。
    *   **同類項をまとめることも忘れないようにしましょう。** 最後に同類項をまとめることで、式をよりシンプルにできます。
",,,,,
数と式,式を因数分解するとは？,多項式の計算の基本,"教科書, p12",,1,,,,"与えられた式を、より簡単な式の積の形に変形すること。
","**因数分解は「式を積の形にする」ことだと理解しよう。** 具体的には、**「和や差の形」の式を「掛け算の形」に変形する** イメージを持とう。因数分解することで、式の性質が見えやすくなったり、方程式を解く手がかりになったりする。
","練習問題：

1. 次の式は因数分解されているか？されている場合は〇、されていない場合は×で答えなさい。
    (1)  \( x(x+2) \)
    (2)  \( x^2 + 2x \)
    (3) \( (x+1) + (x+2) \)
    (4) \( (x+3)(x-1) \)

2. 次の式を因数分解しなさい。
    (1) \( x^2 + 5x + 6 \)
    (2) \( x^2 - 4x \)
    (3) \( 2x^2 - 8 \)
    (4) \( x^2 - 9 \)

3.  因数分解を利用して、次の計算をしなさい。
    \( 105^2 - 5^2 \)
","1. 
    (1) 〇
    (2) ×
    (3) ×
    (4) 〇

2. 
    (1) \( (x+2)(x+3) \)
    (2) \( x(x-4) \)
    (3) \( 2(x+2)(x-2) \)
    (4) \( (x+3)(x-3) \)

3. 
    \( 105^2 - 5^2 = (105+5)(105-5) = 110 \times 100 = 11000 \)
",,,,,
数と式,多項式×多項式の計算ができる？,多項式の計算の基本,教科書,4,1,,,"\textbf{基本例題 4 (多項式) × (多項式)}

次の式を展開せよ。

\begin{enumerate}
    \item $(3x + 2)(4x^2 - 3x - 1)$
    \item $(3x^3 - 5x^2 + 1)(1 - x + 2x^2)$
\end{enumerate}
","多項式同士の掛け算は、分配法則を繰り返し用いることで展開できます。一つ一つの項を丁寧に掛け合わせ、同類項をまとめることが重要です。

(1) $(3x + 2)(4x^2 - 3x - 1)$ の場合：
\begin{align*}
(3x + 2)(4x^2 - 3x - 1) &= 3x(4x^2 - 3x - 1) + 2(4x^2 - 3x - 1) \\
&= 3x \cdot 4x^2 + 3x \cdot (-3x) + 3x \cdot (-1) + 2 \cdot 4x^2 + 2 \cdot (-3x) + 2 \cdot (-1) \\
&= 12x^3 - 9x^2 - 3x + 8x^2 - 6x - 2 \\
&= 12x^3 - x^2 - 9x - 2
\end{align*}

(2) $(3x^3 - 5x^2 + 1)(1 - x + 2x^2)$ の場合：
\begin{align*}
(3x^3 - 5x^2 + 1)(1 - x + 2x^2) &= 3x^3(1 - x + 2x^2) - 5x^2(1 - x + 2x^2) + 1(1 - x + 2x^2) \\
&= 3x^3 \cdot 1 + 3x^3 \cdot (-x) + 3x^3 \cdot 2x^2 - 5x^2 \cdot 1 - 5x^2 \cdot (-x) - 5x^2 \cdot 2x^2 + 1 \cdot 1 + 1 \cdot (-x) + 1 \cdot 2x^2 \\
&= 3x^3 - 3x^4 + 6x^5 - 5x^2 + 5x^3 - 10x^4 + 1 - x + 2x^2 \\
&= 6x^5 - 13x^4 + 8x^3 - 3x^2 - x + 1
\end{align*}
このように、多項式同士の掛け算は、それぞれの項を全ての項と掛け合わせることで展開できます。
","- **多項式の掛け算は、分配法則を徹底的に使う**んだ！一つ一つの項を、もう一方の多項式の全ての項と順番に掛け合わせることを絶対に忘れないで。
- **計算ミスを防ぐために、展開したらすぐに同類項をまとめる**癖をつけよう。
- **次数が高い順に整理する**ことも大切だよ。こうすることで、見やすく、ミスを防ぎやすくなる。
- 複雑に見える多項式の掛け算も、**一つ一つのステップを丁寧にやれば必ず解ける！**焦らず、落ち着いて計算しよう。
","\begin{enumerate}
    \item 次の式を展開せよ。
    \begin{enumerate}
        \item $(2x + 5)(3x^2 - x + 2)$
        \item $(x^2 - 4x + 3)(2x^2 + x - 1)$
    \end{enumerate}
    \item 次の式を展開せよ。
    \begin{enumerate}
        \item $(4a - 3)(a^2 + 2a - 5)$
        \item $(2a^3 + a - 6)(3a^2 - 2)$
    \end{enumerate}
\end{enumerate}
","1.  (1)
    \begin{enumerate}
        \item $(2x + 5)(3x^2 - x + 2)$
        \begin{align*}
        (2x + 5)(3x^2 - x + 2) &= 2x(3x^2 - x + 2) + 5(3x^2 - x + 2) \\
        &= 2x \cdot 3x^2 + 2x \cdot (-x) + 2x \cdot 2 + 5 \cdot 3x^2 + 5 \cdot (-x) + 5 \cdot 2 \\
        &= 6x^3 - 2x^2 + 4x + 15x^2 - 5x + 10 \\
        &= 6x^3 + 13x^2 - x + 10
        \end{align*}
    \item $(x^2 - 4x + 3)(2x^2 + x - 1)$
        \begin{align*}
        (x^2 - 4x + 3)(2x^2 + x - 1) &= x^2(2x^2 + x - 1) - 4x(2x^2 + x - 1) + 3(2x^2 + x - 1) \\
        &= x^2 \cdot 2x^2 + x^2 \cdot x + x^2 \cdot (-1) - 4x \cdot 2x^2 - 4x \cdot x - 4x \cdot (-1) + 3 \cdot 2x^2 + 3 \cdot x + 3 \cdot (-1) \\
